# Load this file on "database.sqlite" using these commands:
# sqlite3 database.sqlite
# .import --csv --skip 4 flat_file_database.csv hashtag
# First row is "hashtag" table columns names
type,word
bad,aesthetic
bad,andorra
bad,area51
bad,argentina
bad,astrologia
bad,astrologiapsicologica
bad,beb
bad,bestworkplace
bad,biscotto
bad,bitcoin
bad,butter
bad,caffe
bad,caffè
bad,canada
bad,cappuccino
bad,cappuccinolover
bad,comunismo
bad,consulenza
bad,corazon
bad,corsica
bad,cripto
bad,dank
bad,dubstep
bad,fake
bad,fantozzi
bad,fashion
bad,fifa
bad,follow
bad,fragola
bad,gatti
bad,gattidivertenti
bad,gattissimi
bad,goldenretriever
bad,guitar
bad,halloween
bad,ibiza
bad,imprenditore
bad,ingegneria
bad,instagood
bad,instagramitaly
bad,it
bad,italia
bad,kinshasa
bad,landscape
bad,latinoamerica
bad,lego
bad,malibu
bad,marvel
bad,metaverso
bad,momo
bad,montecarlo
bad,motherboard
bad,musicaindie
bad,needforspeed
bad,nft
bad,nirvana
bad,oktoberfest
bad,panda4x4
bad,panino
bad,paninogourmet
bad,pastorizianeverdies
bad,pizza
bad,radio
bad,random
bad,risorseumane
bad,ristorazione
bad,rivoluzione
bad,roadster
bad,running
bad,runningmotivation
bad,saldi
bad,salento
bad,salentoesonocontento
bad,seattlegrunge
bad,signodelzodiaco
bad,sky
bad,soldi
bad,soundgarden
bad,srilanka
bad,strength
bad,successo
bad,sushi
bad,swiss
bad,teatro
bad,tekno
bad,tiktok
bad,tiktokindonesia
bad,tomorrowland
bad,topolino
bad,trapani
bad,travel
bad,vaporwave
bad,viaggiare
bad,youcandoit
bad,youngmakeupartist
bad,yucatan
good,aforisma
good,aforismi
good,aforismiitaliani
good,aforismiromani
good,amore
good,amoreadistanza
good,art
good,autostima
good,bastaprocrastinare
good,bellefrasi
good,book
good,bookblogger
good,bookshelf
good,bookstagram
good,bookstagramitalia
good,buongiorno
good,cambiamento
good,chooselove
good,cit
good,citazione
good,citazionedelgiorno
good,citazioni
good,citazionifilm
good,citazioniitaliane
good,citazionilibri
good,citazionitumblr
good,coach
good,consapevolezza
good,consiglidilettura
good,coraggio
good,crederci
good,credere
good,crescitapersonale
good,dedica
good,dediche
good,divertimento
good,emozioni
good,emozioniforti
good,felicità
good,filosofiadivita
good,fototumblr
good,frase
good,frasedelgiorno
good,frases
good,frasi
good,frasiamicizia
good,frasiamore
good,frasibelle
good,frasibellissime
good,frasibianche
good,frasicanzoni
good,frasidamore
good,frasidelgiorno
good,frasiditumblr
good,frasidolci
good,frasifamose
good,frasiitalia
good,frasiitaliane
good,frasiitalianecitazioni
good,frasilibri
good,frasimotivazionali
good,frasipositive
good,frasisbam
good,frasistronze
good,frasisulmuro
good,frasitop
good,frasitristi
good,frasitumblr
good,frasivere
good,gioiadivivere
good,goodmorning
good,grandezza
good,gratitudine
good,grazieuniverso
good,indie
good,inspiration 
good,inspirational
good,inspirational 
good,inspirationalquotes 
good,inspirationalwords 
good,inspirations 
good,lafrasedelgiorno
good,lamiavita
good,lamoreèfollia
good,leggediattrazione
good,leggere
good,leggerechepassione
good,leggerefabene
good,letteratura
good,letteraturacontemporanea
good,lettura
good,libertà
good,libri
good,libriconsigliati
good,libridaleggere
good,libro
good,lifestyle
good,mente
good,messaggi
good,messaggidamore
good,messaggidolci
good,mimanchi
good,mood
good,motivational 
good,motivationalquotes
good,motivationquotes 
good,motivazionale 
good,motivazione
good,motivazione 
good,motivazionedelgiorno 
good,motivazionepersonale 
good,motivazioni 
good,mypersonalcalma
good,obiettivi
good,odissea
good,ottimismo
good,parole
good,paroleprofonde
good,parolesagge
good,parolesante
good,pensieri
good,pensierieparole
good,pensieriparole
good,pensieripositivi
good,pensieriprofondi
good,pensiero
good,perledisaggezza
good,persempre
good,poems 
good,poesia
good,poesia 
good,poesiadamore
good,poesiadistrada
good,poesiasuimuri
good,poeti
good,poetry 
good,positivethoughts
good,positivevibes
good,positivity
good,psicologia
good,quoteoftheday 
good,quotes 
good,quotesdaily 
good,quotestagram 
good,quotestoliveby 
good,racconti
good,reading
good,reels 
good,reelsinstagram
good,reelsinstagram 
good,reflections
good,riflessioni
good,saggezza
good,scrittore
good,scrittori
good,scrivere
good,scrivilosuimuri
good,seilamiavita
good,senzaparole
good,siamoanimedistanti
good,spettacolo
good,spiritualità
good,streetpoetry
good,successo
good,tempo
good,tiamo
good,tumblr
good,tumblrlove
good,tumblrpost
good,tumblrr
good,unaltromondo
good,versi
good,vibrazionedelgiorno
good,vibrazionipositive
good,vita
good,vitamia
